index,for/against,evidence-responsiveness
95276227,1,1
95704478,1,5
59555689,0,
19086571,0,
10403673,0,
16988578,,
68495782,-1,1
46744741,0,
27019005,1,3
38143149,0,
36573181,1,3
46529407,1,5
34278884,,
17065578,1,1
55265312,0,
42270596,0,
87898602,0,
37496889,0,
87044533,1,1
64187700,0,
52626936,1,3
57829732,0,
27881977,1,5
98926573,1,5
79012500,1,3
43447955,0,
52491211,1,2
62954173,0,
28634402,0,
43454788,0,
90097605,1,2
94137549,0,
29756253,0,
15917252,1,3
34815297,1,3
22444026,,
99761867,0,
52749263,0,
12865732,0,
32150968,0,
59495291,1,1
34895128,1,1
67152128,1,1
62245645,0,
97706567,1,5
80665095,,
99676077,0,
86826099,1,5
47701832,1,1
29795348,0,
80337989,,
34323762,1,1
36724570,1,2
73831747,1,1
47115360,0,
23630644,1,4
80149761,,
21197249,0,
51800325,1,2
67775081,0,
77733896,0,
57100684,0,
41011990,1,1
54963076,1,2
12135885,-1,1
97858584,0,
20518610,-1,1
64304888,0,
31948294,1,3
97704273,0,
19007643,1,3
68307395,0,
33576826,1,4
53520325,0,
10638340,,
86842688,1,5
87854393,,
82506262,1,5
82122140,0,
27204237,0,
37473793,0,
83505793,0,
98019394,0,
61534584,0,
74223191,0,
19097062,0,
49881254,0,
11912751,,
35780875,0,
83582824,0,
77164035,0,
98568990,1,5
61937211,0,
13639180,0,
39594604,1,5
30479495,1,3
61010783,1,5
33483255,1,1
14718317,0,
44209131,0,
76953722,0,
72499018,0,
75335641,1,5
21276068,-1,3
59053699,0,
82413338,0,
60261657,0,
83681234,0,
27425564,1,1
71788971,0,
63576305,,
21237505,0,
36485536,1,
49083342,0,
15110545,1,5
34433835,0,
39085461,,
44879692,1,3
50873715,,
56930933,1,3
47967934,,
32462276,0,
78917094,0,
41588414,0,
81500134,,
21010481,0,
72678012,1,1
75576952,,
97496965,0,
32450064,,